volume,image_number,item,entry,topic,problem,reference_link
Volume 2,155,#item-ee2c00c72,643,Temporising,"The point of reference for ""Popularity"" is not entirely clear. We linked to 377 [Popularity], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num3/num_0878/'>643 [Temporising]</a>
Volume 2,155,#item-a9f7066a4,645,Pinch,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num3/num_0881/'>645 [Pinch]</a>
Volume 2,156,#item-bfffeaf97,652,"Petition, request","The point of reference for ""Address"" is not entirely clear. We linked to 2185 [Address], which is the first relevant entry in the numerical section of the Alvearium.","<a href='/digital-beehive/num3/num_0897/'>652 [Petition, request]</a>"
Volume 2,157,#item-85c17ac4d,658,Grief,"The points of reference for ""Displeasure"" and ""Lothing"" are not entirely clear. The Octavo index indicates that 615 [Well done] and 779 [Loathing] might be the earliest occuring relevant entries, but 779 [Loathing] is on a missing page.",<a href='/digital-beehive/num3/num_0906/'>658 [Grief]</a>
Volume 2,158,#item-f01a5aaba,663,Strength,"The point of reference for ""Invincible"" is not entirely clear. We linked to 605 [Invincible], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num3/num_0916/'>663 [Strength]</a>
Volume 2,159,#item-09e6fd363,667,Indulgence,"The point of reference for ""Condescension"" is not entirely clear. We linked to 58 [Condescension], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num3/num_0925/'>667 [Indulgence]</a>
Volume 2,161,#item-3fe46d24b,678,Raw,"The point of reference for ""Concoction"" is not entirely clear.  The Octavo index indicates that entry 766 might be the first relevant entry in the numerical section of the Alvearium, but it is on a missing page.",<a href='/digital-beehive/num3/num_0948/'>678 [Raw]</a>
Volume 2,164,#item-98d1daa16,693,Wormwood,"The point of reference for ""Gall"" is not entirely clear. We linked to 1090 [Gall], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num3/num_0994/'>693 [Wormwood]</a>
Volume 2,164,#item-2778a1806,694,Unfitness,"The point of reference for ""Condescension"" is not entirely clear. We linked to 58 [Condescension], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num3/num_0997/'>694 [Unfitness]</a>
Volume 2,165,#item-7ebd740d5,698,Grease,"The point of reference for ""Fat"" is not entirely clear. We linked to 2136 [Fat : Sewet], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num3/num_1006/'>698 [Grease]</a>
Volume 2,166,#item-b61d35479,703,Nimble,"The point of reference for ""Gestures"" is not entirely clear. We linked to 599 [Gestures], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num3/num_1020/'>703 [Nimble]</a>
Volume 2,167,#item-4eedc7941,706,Occasion,"The points of reference for ""Seasonable"" and ""Opportunity"" are not entirely clear. We linked to 578 [Seasonable] and 2203 [Seasonable Opportunity], which are the earliest relevant entries in the numerical section of the Alvearium. ",<a href='/digital-beehive/num3/num_1027/'>706 [Occasion]</a>
Volume 2,168,#item-87e7d4916,713,Explanation,"Note that the entry refers to entry 1711, but we have linked to entry 711 [Explana[ti]on].",<a href='/digital-beehive/num3/num_1043/'>713 [Explanation]</a>
Volume 2,168,#item-5c2ed30db,714,Market,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num3/num_1045/'>714 [Market]</a>
Volume 2,169,#item-f8c2a91e7,718,Shameless,"The point of reference for ""Impudence"" is not entirely clear. We linked to 471 [Impudence], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num3/num_1058/'>718 [Shameless]</a>
Volume 2,169,#item-4ec5a4f5a,718,Piece,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num3/num_1059/'>718 [Piece]</a>
Volume 2,170,#item-7b7a28c51,721,Attorney,"The point of reference for ""Represent"" is not entirely clear. We linked to 586 [Represent], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num3/num_1065/'>721 [Attorney]</a>
Volume 2,171,#item-458c7044e,866,Train,"The point of reference for ""Pomp"" is not clear. The only entry listed under ""pomp"" in the Octavo Index is 781, which appears on a missing page.",<a href='/digital-beehive/num4/num_1081/'>866 [Train]</a>
Volume 2,172,#item-2abc23683,871,Vessel,"The point of reference for ""Fetters"" is not entirely clear. The Octavo index indicates that 4506 [Fetters] might be the first relevant entry in the numerical section of the Alvearium, but it is on a missing page.",<a href='/digital-beehive/num4/num_1099/'>871 [Vessel]</a>
Volume 2,172,#item-8b4810482,873,Paper,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num4/num_1106/'>873 [Paper]</a>
Volume 2,174,#item-5a79dc130,885,Family Duties,"This entry appears under two identical entries of the Octavo Index: ""family duties"" in image 3.18 and ""family duties"" in image 3.20.",<a href='/digital-beehive/num4/num_1135/'>885 [Family Duties]</a>
Volume 2,175,#item-1f84eb8a8,887,Silver,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num4/num_1139/'>887 [Silver]</a>
Volume 2,176,#item-1858e0ada,892,Mark,"The points of reference for ""Sign"" and ""Line"" are not entirely clear. The Octavo index indicates that 158 [Sign] and 807 [Line] might be the earliest occuring relevant entries, but 807 [Line] is on a missing page.",<a href='/digital-beehive/num4/num_1155/'>892 [Mark]</a>
Volume 2,177,#item-6f084f855,897,Now,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num4/num_1165/'>897 [Now]</a>
Volume 2,177,#item-670e1cf5a,899,Lay-people,"The point of reference for ""Clergy"" is not entirely clear. We linked to 43 [Clergy], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num4/num_1168/'>899 [Lay-people]</a>
Volume 2,178,#item-d06ee845f,901,Contradiction,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num4/num_1171/'>901 [Contradiction]</a>
Volume 2,179,#item-df5add77c,908,Try all things,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num4/num_1186/'>908 [Try all things]</a>
Volume 2,180,#item-a1847f18b,911,Brimstone,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num4/num_1194/'>911 [Brimstone]</a>
Volume 2,180,#item-974c6fd43,912,Magnificen(ce:),"The point of reference for ""Pomp"" is not entirely clear. The Octavo index indicates that 781 [Pomp] might be the first relevant entry in the numerical section of the Alvearium, but it is on a missing page.",<a href='/digital-beehive/num4/num_1196/'>912 [Magnificen(ce:)]</a>
Volume 2,181,#item-c43338b59,916,To Tumble,"The point of reference for ""Turn"" is not entirely clear. We have linked to 889 [To Turn], which is the most relevant entry in the Alvearium.",<a href='/digital-beehive/num4/num_1210/'>916 [To Tumble]</a>
Volume 2,184,#item-ee5c965b6,933,Treachery,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num4/num_1245/'>933 [Treachery]</a>
Volume 2,187,#item-02892b8ef,952,Babel,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num4/num_1271/'>952 [Babel]</a>
Volume 2,192,#item-c270c7e19,979,Members,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num4/num_1308/'>979 [Members]</a>
Volume 2,195,#item-78c8e0fd3,1000,Prophets,"The points of reference for ""Philadelphia"" and ""Wm. Penn"" are not entirely clear. We linked to 1094 [Philada] and 1095 [Wm. Pen[n]], which are the most relevant entries in the numerical section of the Alvearium.",<a href='/digital-beehive/num4/num_1333/'>1000 [Prophets]</a>
Volume 2,196,#item-86654a132,1001,Self Condemned,"The point of reference for ""heretick"" is not entirely clear. We have linked to the alphabetical entry for ""Heresy.""",<a href='/digital-beehive/num5/num_1335/'>1001 [Self Condemned]</a>
Volume 2,207,#item-dd5476571,1020,Chimical Latin,"The solitary ""Add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num5/num_1364/'>1020 [Chimical Latin]</a>
Volume 2,216,#item-e510f99ed,1064,Primitive Christians,"The point of reference for ""Christians"" is not clear. We have linked to the alphabetical entry for ""Christianity.""",<a href='/digital-beehive/num5/num_1432/'>1064 [Primitive Christians]</a>
Volume 2,217,#item-d319a52db,1067,Many,"The point of reference for ""much"" is not clear. We have linked to 294 [Much], which is the first relevant entry in the Alvearium.",<a href='/digital-beehive/num5/num_1437/'>1067 [Many]</a>
Volume 2,222,#item-1d03c8224,1093,Early,"The point of reference for ""Suppress"" is not clear. We have linked to 828 [[PAGE_MISSING]], which is the only entry listed under ""to suppress"" in the Octavo Index.",<a href='/digital-beehive/num5/num_1479/'>1093 [Early]</a>
Volume 2,231,#item-e53b65789,1136,Thread,"The point of reference for ""Cord and Rope"" is not clear. We have linked to 348 [A rope], which is the most relevant entry in the Alvearium and is also listed under ""cord"" in the Octavo Index.",<a href='/digital-beehive/num5/num_1545/'>1136 [Thread]</a>
Volume 2,232,#item-c0fb2b660,1142,Be gone,"This entry appears under two identical entries of the Octavo Index: ""be gone"" in image 3.09, and ""be gone"" in image 3.22.",<a href='/digital-beehive/num5/num_1555/'>1142 [Be gone]</a>
Volume 2,237,#item-036ae030c,1169,Laconism,"This entry appears under two identical entries of the Octavo Index: ""few words"" in image 3.20, and ""few words"" in image 3.53.",<a href='/digital-beehive/num5/num_1595/'>1169 [Laconism]</a>
Volume 2,238,#item-f5c19aaff,1174,,This is a blank entry.,<a href='/digital-beehive/num5/num_1601/'>1174 [nan]</a>
Volume 2,238,#item-0bda2758b,1175,Vices,"The point of reference for ""Excess"" is not clear. It is worth noting that 1169 [Extremity] is listed under ""excess"" in the Octavo Index.",<a href='/digital-beehive/num5/num_1602/'>1175 [Vices]</a>
Volume 2,242,#item-71e816617,1192,Want of Punishmt,"The point of reference for ""Indulgence"" is not clear. We have linked to 667 [Indulgence], which is the first relevant entry in the Alvearium.",<a href='/digital-beehive/num5/num_1625/'>1192 [Want of Punishmt]</a>
Volume 2,249,#item-8a83842d3,1228,Aristotle,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num5/num_1689/'>1228 [Aristotle]</a>
Volume 2,250,#item-b5a299736,1232,Imploymt,A squiggling line in the left margin appears to connect this entry to 1233 [Servants] and 1233 [friendliest office].,<a href='/digital-beehive/num5/num_1698/'>1232 [Imploymt]</a>
Volume 2,250,#item-a0e0613fc,1233,Servants,A squiggling line in the left margin appears to connect this entry to 1232 [Imploymt] and 1233 [friendliest office].,<a href='/digital-beehive/num5/num_1699/'>1233 [Servants]</a>
Volume 2,250,#item-111a7c711,1233,friendliest office,A squiggling line in the left margin appears to connect this entry to 1232 [Imploymt] and 1233 [Servants].,<a href='/digital-beehive/num5/num_1700/'>1233 [friendliest office]</a>
Volume 2,253,#item-62aff0f58,1248,Original Sin,"The point of reference for ""Natural man"" is not entirely clear. We have linked to the alphabetical entry for ""Natural,"" which is relevant to Adam and original sin. It is worth noting that the numerical section also contains 50 [Natural man] and 2080 [Natural man].",<a href='/digital-beehive/num5/num_1728/'>1248 [Original Sin]</a>
Volume 2,253,#item-9f60f01e9,1250,Grasshoppers,"The point of reference for ""beetles"" is not clear. It is worth noting that 1002 [Flies] is the only entry that appears under ""beetles"" in the index. Also, it appears that Pastorius did not complete the attempted cross reference in this entry, as suggested by the open-ended ""and.""",<a href='/digital-beehive/num5/num_1733/'>1250 [Grasshoppers]</a>
Volume 2,254,#item-5f4ca81a2,1252,lying News,An arrow points from 1253 [bad News] toward the final line of this entry.,<a href='/digital-beehive/num6/num_1736/'>1252 [lying News]</a>
Volume 2,254,#item-5ab08024c,1253,bad News,"The point of reference for ""Unacceptable"" is not clear. We have linked to 1320 [Unacceptable], which is the only extant appearance of ""Unacceptable"" in the Alvearium. Also, an arrow points from this entry to the final line of 1252 [bad News].",<a href='/digital-beehive/num6/num_1738/'>1253 [bad News]</a>
Volume 2,255,#item-72afb0505,1258,Reason,"The ""add num. seq."" at the end of this entry is a cross-reference to 1259 [Reason], which continues this topic later on the same page of the Alvearium.",<a href='/digital-beehive/num6/num_1746/'>1258 [Reason]</a>
Volume 2,255,#item-0c8ac73c4,1259,Reason,"This entry is a sort of continuation of 1258 [Reason], which appears earlier on the same page of the Alvearium.",<a href='/digital-beehive/num6/num_1748/'>1259 [Reason]</a>
Volume 2,257,#item-9dea766b3,1264,"False Teachers, continued","This entry is a continuation of 1264 [False Teachers], which appears at the end of the previous page of the Alvearium.","<a href='/digital-beehive/num6/num_1757/'>1264 [False Teachers, continued]</a>"
Volume 2,256,#item-50cdacef0,1264,False Teachers,"This is an unusually long entry, which continues onto the following page of the Alvearium.",<a href='/digital-beehive/num6/num_1756/'>1264 [False Teachers]</a>
Volume 2,257,#item-3ce416b4b,1270,Universities,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num6/num_1762/'>1270 [Universities]</a>
Volume 2,258,#item-9fda55f1f,1272,Secrecy,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num6/num_1766/'>1272 [Secrecy]</a>
Volume 2,260,#item-bb4d87b98,1283,Astrology,"There is no line separating this entry from the following entry, 1283 [Calculators of Nativity]. These are related entries.",<a href='/digital-beehive/num6/num_1785/'>1283 [Astrology]</a>
Volume 2,260,#item-a1a197169,1283,Calculators of Nativity,"There is no line separating this entry from the previous entry, 1283 [Astrology]. These are related entries. Also, the point of reference for ""Enchantment"" is not clear. We have linked to 282 [Enchantmt], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num6/num_1786/'>1283 [Calculators of Nativity]</a>
Volume 2,261,#item-1d1138948,1288,French,"Pastorius appears to create a cross-reference to 1644. However, it is likely that this was an error, and he meant to cross-reference 4644 [[PAGE_MISSING]], which appears in the index under ""french.""",<a href='/digital-beehive/num6/num_1795/'>1288 [French]</a>
Volume 2,263,#item-eb7e32b15,1300,False Christs,"This entry appears under two identical entries of the Octavo Index: ""false Christs"" on vol. 3, p.13, and ""false Christs"" on vol. 3, p.20.",<a href='/digital-beehive/num6/num_1817/'>1300 [False Christs]</a>
Volume 2,264,#item-edc7a8059,1304,Publick good,"The ""add Com[m]on"" at the beginning of this entry is followed by a cancel mark. It is likely an incomplete attempt to write the cross-reference to 732 [PAGE_MISSING; Com[m]on best], which appears at the end of this entry.",<a href='/digital-beehive/num6/num_1824/'>1304 [Publick good]</a>
Volume 2,264,#item-d9294fc99,1305,Great men,"The ""add num. seq."" at the end of this entry is a cross-reference to 1306 [Great men, continued], which continues this topic on the following page of the Alvearium.",<a href='/digital-beehive/num6/num_1827/'>1305 [Great men]</a>
Volume 2,265,#item-d9294fc99,1306,"Great men, continued","This entry is a continuation of 1305 [Great men], which appears on the previous page of the Alvearium.","<a href='/digital-beehive/num6/num_1827/'>1306 [Great men, continued]</a>"
Volume 2,266,#item-aaa8b7379,1312,Witchcraft,The book list numbers that Pastorius lists in his reference to p.375 also include books listed on p.376 and p.378 of The Bee-Hive. All these pages are linked in this entry.,<a href='/digital-beehive/num6/num_1834/'>1312 [Witchcraft]</a>
Volume 2,266,#item-74a62b0ec,1313,Spectres,"The point of reference for ""bells tolling"" is unclear.",<a href='/digital-beehive/num6/num_1836/'>1313 [Spectres]</a>
Volume 2,266,#item-0ad640aad,1315,Divination,"The ""add num. seq."" at the end of this entry is a cross-reference to 1316 [Laplanders], which begins the following page of the Alvearium. The point of reference for ""Prophecy"" is unclear, but we have linked to the alphabetical entry for ""Prophet."" The point of reference for ""Enchantmt"" is unclear, 282 [Enchantmt] is unclear. We have linked to 282 [Enchantmt], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num6/num_1837/'>1315 [Divination]</a>
Volume 2,268,#item-5670a46b5,1321,High treason,"This entry appears under two identical entries of the Octavo Index: ""high treason"" in image 3.24, and ""high treason"" on image 3.48.",<a href='/digital-beehive/num6/num_1852/'>1321 [High treason]</a>
Volume 2,268,#item-6ca06285b,1325,Duel,"There is no line separating this entry from the following entry, 1325 [a Tournament]. These are related entries; in fact, 1325 [a Tournament] includes a cross-reference to 1955 [Duel].",<a href='/digital-beehive/num6/num_1861/'>1325 [Duel]</a>
Volume 2,268,#item-a49f679cf,1325,a Tournament,"There is no line separating this entry from the previous entry, 1325 [Duel]. These are related entries; in fact, 1325 [a Tournament] includes a cross-reference to 1955 [Duel].",<a href='/digital-beehive/num6/num_1862/'>1325 [a Tournament]</a>
Volume 2,270,#item-f8ccc9359,1332,Reformation,"There is no line separating this entry from the following entry, 1332 [Wandring Jew]. These are related entries; in fact, 1332 [Wandring Jew] includes a cross-reference to 1695 [Reformation].",<a href='/digital-beehive/num6/num_1873/'>1332 [Reformation]</a>
Volume 2,270,#item-8391ad7fa,1332,Wandring Jew,"There is no line separating this entry from the previous entry, 1332 [Reformation]. These are related entries; in fact, 1332 [Wandring Jew] includes a cross-reference to 1695 [Reformation].",<a href='/digital-beehive/num6/num_1874/'>1332 [Wandring Jew]</a>
Volume 2,270,#item-fafd5e21e,1334,Marlborough,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num6/num_1877/'>1334 [Marlborough]</a>
Volume 2,272,#item-c68f859dc,1345,Exercise,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num6/num_1900/'>1345 [Exercise]</a>
Volume 2,272,#item-5e9ad0df4,1345,Experience,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num6/num_1899/'>1345 [Experience]</a>
Volume 2,274,#item-ccfbd8c8d,1355,Holland,"This entry continues this topic on the following page of the Alvearium as 1356 [Holland, continued].",<a href='/digital-beehive/num6/num_1922/'>1355 [Holland]</a>
Volume 2,275,#item-d509138fc,1356,"Holland, continued","This entry is a continuation of 1355 [Holland], which appears on the previous page of the Alvearium.","<a href='/digital-beehive/num6/num_1923/'>1356 [Holland, continued]</a>"
Volume 2,276,#item-1a80d6ee2,1362,Man in his first State : fall,"The point of reference for ""adde S. anteced,"" is not entirely clear. It is likely a cross-reference to the previous entry, 1361 [Christ Jesus].",<a href='/digital-beehive/num6/num_1934/'>1362 [Man in his first State : fall]</a>
Volume 2,276,#item-bffbf44e5,1363,Watchfulness,"Pastorius appears to create a cross-reference to 1655. However, it is likely that this was an error, and he meant to cross-reference 4655 [[PAGE_MISSING]], which appears in the index under ""vigilance.""",<a href='/digital-beehive/num6/num_1937/'>1363 [Watchfulness]</a>
Volume 2,277,#item-fb1228afd,1366,Justice,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num6/num_1941/'>1366 [Justice]</a>
Volume 2,277,#item-12db55ee3,1367,Afflictions,"The point of reference for ""add seq."" is unclear. It is likely a cross-reference to the following entry, 1368 [Publick or Com[m]on Calamities].",<a href='/digital-beehive/num6/num_1943/'>1367 [Afflictions]</a>
Volume 2,279,#item-fb46be299,1377,Great with young,"This entry appears under the second of two identical entries in the Octavo Index. Whereas the website will link to the first appearance of ""big with child"" in the index on 3.10, 1377 [Great with young] appears only under the index entry for ""big with child"" on image 3.12.",<a href='/digital-beehive/num6/num_1963/'>1377 [Great with young]</a>
Volume 2,280,#item-abb5417b1,1382,English Tongue,The purpose of the downward arrow in the left margin of this entry is unclear.,<a href='/digital-beehive/num6/num_1974/'>1382 [English Tongue]</a>
Volume 2,280,#item-7d450262f,1383,Neptune,"The point of reference for ""Trident"" is not clear. We have linked to 639 [a Trident], which is the most relevant entry in the Alvearium.",<a href='/digital-beehive/num6/num_1975/'>1383 [Neptune]</a>
Volume 2,280,#item-175f89325,1384,Assistant,"This entry is unusual because it lacks an underlined topic, but we have listed ""Assistant"" as the clear topic of this entry.",<a href='/digital-beehive/num6/num_1979/'>1384 [Assistant]</a>
Volume 2,281,#item-283301e71,1386,Gratulation,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num6/num_1983/'>1386 [Gratulation]</a>
Volume 2,281,#item-c47cc23c1,1390,Providence,"The point of reference for ""Vigilance"" is unclear. It is worth noting that 4655 [PAGE_MISSING] is the only entry under ""vigilance"" in the Octavo Index, and that the Octavo Index entry for ""vigilance"" includes a cross-reference to ""Providence.""",<a href='/digital-beehive/num6/num_1992/'>1390 [Providence]</a>
Volume 2,284,#item-20e8bc22f,1399,"Pen[n]silvania, continued","This entry is a continuation of 1399 [Pen[n]silvania], which appears at the end of the previous page of the Alvearium. Pastorius has crossed out (canceled) subsequent numbers in the Alvearium to make room for this long entry.","<a href='/digital-beehive/num6/num_2014/'>1399 [Pen[n]silvania, continued]</a>"
Volume 2,283,#item-69d5b6efe,1399,Pen[n]silvania,"This is an unusually long entry, which continues onto the following page of the Alvearium. Pastorius has crossed out (canceled) subsequent numbers in the Alvearium to make room for this long entry.",<a href='/digital-beehive/num6/num_2013/'>1399 [Pen[n]silvania]</a>
Volume 2,284,#item-eb31dee90,1402,Lasciviousness,"This entry appears under two identical entries of the Octavo Index: ""wanton love"" in image 3.29 and ""wanton love"" in image 3.51.",<a href='/digital-beehive/num6/num_2015/'>1402 [Lasciviousness]</a>
Volume 2,284,#item-5e8d767ed,1405,Fable,"This entry appears to contain an incomplete cross-reference, indicated by the open-ended ampersand.",<a href='/digital-beehive/num6/num_2023/'>1405 [Fable]</a>
Volume 2,288,#item-a73a8db93,1422,Ex. gr.,"This entry appears under two identical entries that appear on the same page of the Octavo Index: two index entries for ""ex. gr."" appear in image 3.19.",<a href='/digital-beehive/num6/num_2061/'>1422 [Ex. gr.]</a>
Volume 2,288,#item-19b12febe,1424,Abbot,"This entry is unusual because it lacks an underlined topic, but we have listed ""Abbot"" as the clear topic of this entry.",<a href='/digital-beehive/num6/num_2066/'>1424 [Abbot]</a>
Volume 2,288,#item-546a2c74c,1425,Maid,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num6/num_2069/'>1425 [Maid]</a>
Volume 2,289,#item-25c37ba79,1430,Suddenness,"This entry appears to contain an incomplete cross-reference, indicated by the open-ended ampersand.",<a href='/digital-beehive/num6/num_2082/'>1430 [Suddenness]</a>
Volume 2,290,#item-5c53d2088,1433,To Look,"A line in the left margin connects this entry to the following entry, 1434 [Air].",<a href='/digital-beehive/num6/num_2089/'>1433 [To Look]</a>
Volume 2,290,#item-bf319a6fa,1434,Air,"A line in the left margin connects this entry to the previous entry, 1433 [To Look].",<a href='/digital-beehive/num6/num_2090/'>1434 [Air]</a>
Volume 2,291,#item-bfc519609,1439,"Duty towards God : Parents : Superiours, Equals & Inferiours",A hashmark near the cross-reference at the end of this entry is connected by a line to a hashmark in the right margin next to 1440 [Husband & Wife] later on the same page of the Alvearium.,"<a href='/digital-beehive/num6/num_2100/'>1439 [Duty towards God : Parents : Superiours, Equals & Inferiours]</a>"
Volume 2,291,#item-244a4d623,1440,Husband & Wife,"A hashmark in the right margin of this entry is connected by a line to a hashmark at the end of the entry for 1439 [Duty towards God : Parents : Superiours, Equals & Inferiours], which appears earlier on the same page of the Alvearium.",<a href='/digital-beehive/num6/num_2102/'>1440 [Husband & Wife]</a>
Volume 2,293,#item-cb1716202,1446,To disturb,"The point of reference for ""Trident"" is not clear. We have linked to 661 [To trouble], which is the most relevant entry in the Alvearium.",<a href='/digital-beehive/num6/num_2112/'>1446 [To disturb]</a>
Volume 2,294,#item-e0a672899,1453,Mad,"A line in the left margin of the manuscript connects this entry to the following entry, 1454 [Reproof].",<a href='/digital-beehive/num6/num_2130/'>1453 [Mad]</a>
Volume 2,294,#item-a6f072bbf,1454,Reproof,"A line in the left margin of the manuscript connects this entry to the previous entry, 1453 [Mad].",<a href='/digital-beehive/num6/num_2131/'>1454 [Reproof]</a>
Volume 2,295,#item-00441a88e,1457,Exorable,"There is no line separating this entry from the following entry, 1457 [Inexorableness]. These are related entries.",<a href='/digital-beehive/num6/num_2137/'>1457 [Exorable]</a>
Volume 2,295,#item-5427af369,1457,Inexorableness,"There is no line separating this entry from the previous entry, 1457 [Exorable]. These are related entries.",<a href='/digital-beehive/num6/num_2138/'>1457 [Inexorableness]</a>
Volume 2,297,#item-fa2de7e65,1466,Queen Mary's,"The ""add Callis num. seq."" at the end of this entry is a cross-reference to 1467 [Callis : Calais], which appears later on the same page of the Alvearium.",<a href='/digital-beehive/num6/num_2155/'>1466 [Queen Mary's]</a>
Volume 2,297,#item-0797841fc,1467,Pope,"A page reference in this entry, which appears to point us toward p.177 of the Beehive, is a mistake in the manuscript. This reference should say p.377, where the listed books appear.",<a href='/digital-beehive/num6/num_2156/'>1467 [Pope]</a>
Volume 2,298,#item-d012ca7d8,1475,Absolutely,"The line ""adde num. anteced"" is a cross-reference to 1475 [Denial], which is the previous entry on the same page.",<a href='/digital-beehive/num6/num_2174/'>1475 [Absolutely]</a>
Volume 2,299,#item-9228d56af,1477,hopeful Children,The reference in this entry to number 1485 on p.381 of the manuscript likely points us to Pastorius's account of sons Samuel and Henry Pastorius on that page. We have realized this as a cross-reference link.,<a href='/digital-beehive/num6/num_2178/'>1477 [hopeful Children]</a>
Volume 2,300,#item-189e491f6,1481,Secret Writing,"This is an unusually long, and generally unusual, entry. The topic continues in the following entry on the same page of the manuscript, 1482 [Secret Writing, continued].",<a href='/digital-beehive/num6/num_2185/'>1481 [Secret Writing]</a>
Volume 2,300,#item-1f779caa0,1482,"Secret Writing, continued","This entry is a continuation of the previous entry on the same page of the manuscript, 1481 [Secret Writing].","<a href='/digital-beehive/num6/num_2186/'>1482 [Secret Writing, continued]</a>"
Volume 2,301,#item-81593136e,1485,Samuel Pastorius : Henry Pastorius : Brethren,"It is unclear whether this is a usual Alvearium entry. There is no entry number visible, so we have labeled this entry with the logical number in the sequence.",<a href='/digital-beehive/num6/num_2191/'>1485 [Samuel Pastorius : Henry Pastorius : Brethren]</a>
Volume 2,301,#item-8501a01a4,1486,East Indies,"Although the entry number is not visible, evidence from the index and the logical ordering of entry numbers suggests that this entry is 1486.",<a href='/digital-beehive/num6/num_2192/'>1486 [East Indies]</a>
Volume 2,302,#item-9eb1a1236,1490,few hours of Life,"Despite its unusual appearance, this entry conforms to our protocols for annotation.",<a href='/digital-beehive/num6/num_2199/'>1490 [few hours of Life]</a>
Volume 2,302,#item-db5f32f4f,1491,Teach me o Lord,"Despite its unusual appearance, this entry conforms to our protocols for annotation. Also, the point of reference for 1471 is not clear, but we have hypothesized that Pastorius means to link to 1471 [To Agree].",<a href='/digital-beehive/num6/num_2200/'>1491 [Teach me o Lord]</a>
Volume 2,302,#item-b2e6d5896,1495,Finis : Cinis,"Despite this entry's unusual appearance, we have annotated it as a normal entry.",<a href='/digital-beehive/num6/num_2204/'>1495 [Finis : Cinis]</a>
Volume 2,303,#item-93cf06be8,1496,Bees,"The point of reference for ""adde supra folium Initiate"" is not clear. It is possible that Pastorius means to direct us to introductory parts of the manuscript that discuss bees.",<a href='/digital-beehive/num6/num_2205/'>1496 [Bees]</a>
Volume 2,303,#item-79bdd95b1,1498,Almost Xstians,"The point of reference for ""Lukewarm"" is not clear. We have linked to 27 [Lukewarmness], which is the most relevant entry in the Alvearium.",<a href='/digital-beehive/num6/num_2208/'>1498 [Almost Xstians]</a>
