volume,image_number,head,entry,topic,xref,see,index,item,selection,full_image
Volume 1,447,,Cruelty,Cruelty,Tyran[n]y|Severity|Oppression|565 [horrid Cruelties practised by the Papists upon Protestants]|514 [Cruelty],,cruelty,#item-437531419,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/327,208,3104,511/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/full/full/0/default.jpg
Volume 1,447,,Cuckow,Cuckow,1730 [Cuckolds],,cuckold|cuckow,#item-f1a097264,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/300,656,3127,261/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/full/full/0/default.jpg
Volume 1,447,,Curiosity,Curiosity,Novelty|Strange Business|1602 [Curiosity],,curiosity,#item-f021b2326,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/328,823,3127,425/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/full/full/0/default.jpg
Volume 1,447,,Custody,Custody,Jailer,,custody,#item-467fa12a2,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/355,1183,3061,363/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/full/full/0/default.jpg
Volume 1,447,,Custom,Custom,Fashion of the Country|Accustoming|1121 [Custom],,custom,#item-b1fc36890,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/320,1440,3147,546/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/full/full/0/default.jpg
Volume 1,447,,Dammage,Dammage,Losse|[WORD_ILLEGIBLE]|1422 [Dam[m]age],,dam[m]age,#item-f95d47f88,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/363,1926,3077,498/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/full/full/0/default.jpg
Volume 1,447,,Dancing,Dancing,1525 [Dancing],,dancing,#item-7fd900e31,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/365,2395,3039,401/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/full/full/0/default.jpg
Volume 1,447,,Danger,Danger,Pinch|673 [Danger],,danger,#item-84f269f52,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/359,2725,3117,602/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/full/full/0/default.jpg
Volume 1,447,,Darkness,Darkness,1220 [Darkness],,darkness,#item-4008cee4b,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/388,3296,3038,565/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/full/full/0/default.jpg
Volume 1,447,,Day,Day,1447 [Day],,day,#item-e3053429e,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/398,3824,3009,373/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/full/full/0/default.jpg
Volume 1,447,,Dearth,Dearth,563 [Dearth],,dearth,#item-801e3b1cc,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/424,4160,2974,323/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/full/full/0/default.jpg
Volume 1,447,,Death,Death,Agony|Mortality|507 [Death passed upon all men],,death,#item-7e364ca49,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/404,4444,3011,616/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/full/full/0/default.jpg
Volume 1,448,,Fear of Death,Fear of Death,Self-murther|424 [Fear of death],,fear of death,#item-802c3c09e,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/722,742,3052,564/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/full/0/default.jpg
Volume 1,448,,Debt,Debt,Payment|1352 [Debt],,debt,#item-30cd35c11,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/772,1172,3003,613/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/full/0/default.jpg
Volume 1,448,,Dedication,Dedication,1348 [Epistle Dedicatory],,dedication,#item-1fd55f37c,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/782,1638,3029,516/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/full/0/default.jpg
Volume 1,448,,Deed,Deed,Works|1137 [Deed],,deed,#item-76b2be726,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/827,2064,2943,569/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/full/0/default.jpg
Volume 1,448,,Deer,Deer,,,deer,#item-ce13c55af,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/750,2519,2995,266/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/full/0/default.jpg
Volume 1,448,,Defence,Defence,Resistance|739 [PAGE_MISSING],,defence,#item-7da8743c5,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/788,2760,2958,538/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/full/0/default.jpg
Volume 1,448,,Deformity,Deformity,Beauty|4571 [PAGE_MISSING],,deformity,#item-15a565036,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/780,3237,2943,541/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/full/0/default.jpg
Volume 1,448,,Degree,Degree,Progress|1377 [Great with young],,degree,#item-b4234514f,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/801,3742,2966,415/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/full/0/default.jpg
Volume 1,448,,Delay,Delay,851 [PAGE_MISSING]|1123 [Delay],,delay,#item-17b3271a0,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/785,4058,2974,430/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/full/0/default.jpg
Volume 1,448,,Deliberation,Deliberation,Considerateness|Meditation,,deliberation,#item-8049ac248,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/827,4430,2918,434/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/full/0/default.jpg
Volume 1,449,,Deluge,Deluge,1395 [Deluge],,deluge,#item-a503485d3,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/326,197,3099,461/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg
Volume 1,449,,Demoniack,Demoniack,2157 [Demoniack],,demoniack,#item-f423d53cf,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/311,571,3081,364/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg
Volume 1,449,,Denial,Denial,Refusal|Selfdenial|1475 [Denial],,denial,#item-7347a1409,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/376,848,3051,532/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg
Volume 1,449,,Deposition,Deposition,1816 [Degradation],,deposition,#item-8a9cd5a04,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/395,1319,3024,264/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg
Volume 1,449,,Deprecation,Deprecation,,,deprecation,#item-8855fe0e6,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/391,1510,3034,299/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg
Volume 1,449,,Derision,Derision,jest|railing|scorn|773 [PAGE_MISSING],,derision,#item-9232756fa,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/389,1760,3026,385/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg
Volume 1,449,,Desertion,Desertion,Denial|1856 [PAGE_MISSING],,desertion,#item-26dd25431,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/374,2092,3067,366/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg
Volume 1,449,,Devil,Devil,747 [PAGE_MISSING],,devil,#item-0d1928a70,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/370,2440,3061,549/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg
Volume 1,449,,Devotion,Devotion,Piety|489 [Turn in!]|2223 [Devotion],,devotion,#item-19bd7db90,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/391,2915,3036,466/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg
Volume 1,449,,Dew,Dew,,,dew,#item-896e03c99,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/405,3350,3022,244/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg
Volume 1,449,,Dice,Dice,Play,,dice,#item-0c245cfc1,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/440,3631,2994,266/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg
Volume 1,449,,Diet,Diet,Temperance|359 [Meat]|4735 [PAGE_MISSING],,diet,#item-a44dc7143,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/399,3898,3049,587/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg
Volume 1,449,,Difference,Difference,Inequality|860 [PAGE_MISSING],,difference,#item-90a5b16f8,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/422,4410,2996,382/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg
Volume 1,449,,Difficulty,Difficulty,Heaviness|100 [Difficulty],,difficulty,#item-284e23a0c,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/389,4729,3016,239/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg
Volume 1,450,,Diligence,Diligence,Labour|Laziness|Watchfulness|924 [Diligence],,diligence,#item-6419df951,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/834,226,2945,631/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/full/0/default.jpg
Volume 1,450,,Dirt,Dirt,Tares|314 [Dirt],,dirt,#item-6500f1f9d,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/812,730,2936,357/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/full/0/default.jpg
Volume 1,450,,Discipline,Discipline,ecclesiastical disc|martial discipl|punishmt|WORD_ILLEGIBLE|Reproof,,discipline,#item-a12735979,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/807,985,2972,520/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/full/0/default.jpg
Volume 1,450,,Discontentment,Discontentment,Contentmt|80 [Discontent],,discontentmt,#item-868c94771,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/803,1466,2995,558/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/full/0/default.jpg
Volume 1,450,,Discord,Discord,Unanimity|840 [PAGE_MISSING],,discord,#item-40ce07a4f,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/711,1957,3093,725/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/full/0/default.jpg
Volume 1,450,,Discretness,Discretness,Modesty,,discretness,#item-b1771a258,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/794,2585,2989,144/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/full/0/default.jpg
Volume 1,450,,Discretion,Discretion,,,discretion,#item-c8b7cc6c4,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/784,2773,2916,220/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/full/0/default.jpg
Volume 1,450,,Disobedience,Disobedience,1898 [Disobedience],,disobedience,#item-ab66bd9fd,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/790,2918,2958,716/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/full/0/default.jpg
Volume 1,450,,Disorder,Disorder,Order|929 [Disorder],,disorder,#item-ec88b80d1,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/792,3538,2943,489/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/full/0/default.jpg
Volume 1,450,,Disputation,Disputation,Strife|170 [Disputation],,disputation,#item-8b68258ba,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/794,3901,2937,649/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/full/0/default.jpg
Volume 1,450,,Distrust,Distrust,Trusting|Suspition|Caution|Desperate|1842 [PAGE_MISSING],,distrust,#item-a95c35cba,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/790,4462,2974,565/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/full/0/default.jpg
Volume 1,451,,Divinity,Divinity,1371 [WORD_MISSING],,divines and divinity,#item-a97ed4337,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/372,222,3066,385/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg
Volume 1,451,,Theologia ethnicorum,Theologia ethnicorum,,,[INDEX_HEADING_MISSING],#item-74048cfc2,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/396,513,3047,312/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg
Volume 1,451,,Theola Scholastica,Theola Scholastica,1799 [Theologia Scholastica],,divinity scholastica,#item-dc50d6578,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/409,727,3027,279/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg
Volume 1,451,,Theola Mystica,Theola Mystica,,,divinity mystica,#item-a42afa50a,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/403,930,3029,237/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg
Volume 1,451,,Division,Division,,,division,#item-f01b54131,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/412,1173,3038,286/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg
Volume 1,451,,Diversity,Diversity,Difference,,diversity,#item-c1e8cd7f5,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/390,1436,2981,184/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg
Volume 1,451,,Divorcement,Divorcement,1498 [Divorsement],,divorcement,#item-2283b131d,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/375,1583,2995,215/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg
Volume 1,451,,Discharge,Discharge,1445 [Dismissing],,discharge,#item-980f3a073,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/390,1770,3014,176/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg
Volume 1,451,,Doctor,Doctor|Doctorship,Master of Arts|964 [Doctor],,doctor,#item-34ac490a3,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/373,1888,3063,432/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg
Volume 1,451,,Doctrine,Doctrine,Catechism|Learning|2440 [To Teach],,doctrine,#item-664bc12aee,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/346,2268,3112,679/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg
Volume 1,451,,Dog,Dog,1338 [Dog],,dog,#item-b80ead891,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/388,2856,3026,434/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg
Volume 1,451,,Dog-dayes,Dog-days,,,dog-days,#item-7c551681e,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/435,3240,2936,219/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg
Volume 1,451,,Dormouse,Dormouse,,,dormouse,#item-53af5e652,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/443,3433,1909,157/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg
Volume 1,451,,Doubt,Doubt,Perplexity|Pinch|Scepticsm|705 [Doubtfulness],,doubt,#item-5f6348a67,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/422,3620,3016,590/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg
Volume 1,451,,Dream,Dream,1374 [Dream],,dream,#item-7723640e4,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/422,4149,2993,600/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg
Volume 1,451,,Drieness,Drieness,1526 [Drought or Driness],,drieness,#item-edc1632ba,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/422,4710,2969,297/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg
Volume 1,452,,Drink,Drink,Drinking of healths|Thirst|775 [PAGE_MISSING],,drink,#item-6376317e7,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/817,252,2910,440/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/full/0/default.jpg
Volume 1,452,,Drunkeness,Drunkeness,161 [Drunkeness],,drunken[n]ess,#item-18aa7dc9f,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/778,559,2971,663/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/full/0/default.jpg
Volume 1,452,,Duck,Duck,,,duck,#item-22ba711ad,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/759,1089,2985,232/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/full/0/default.jpg
Volume 1,452,,Duel,Duel,1325 [Duel],,duel,#item-68688252a,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/764,1285,2978,511/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/full/0/default.jpg
Volume 1,452,,Dunghill,Dunghill,,,dung. dunghil,#item-d7e076237,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/764,1712,2966,321/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/full/0/default.jpg
Volume 1,452,,Dwarf,Dwarf,1322 [Mamuts Valet],,dwarf,#item-3b6571f85,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/740,1976,3012,415/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/full/0/default.jpg
Volume 1,452,,Eagle,Eagle,,,Eagle,#item-b66ae7913,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/776,2274,2926,280/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/full/0/default.jpg
Volume 1,452,,Ear,Ear,1402 [Ear],,ear,#item-11dea4dfd,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/755,2531,2982,431/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/full/0/default.jpg
Volume 1,452,,Earth,Earth,World|2130 [Earth],,earth,#item-a3ac6b45a,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/766,2806,2960,651/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/full/0/default.jpg
Volume 1,452,,Earthquake,Earthquake,1237 [Earthquakes],,earthquake,#item-aada765c4,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/786,3462,3029,581/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/full/0/default.jpg
Volume 1,452,,Easter,Easter,Passover Feast,,easter,#item-193279c50,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/779,3866,2951,339/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/full/0/default.jpg
Volume 1,452,,Ecclesiastical discipline,Ecclesiastical discipline,Excommunication|74 [the Judge of religious Controversies]|402 [Order & Discipline in the Church],,ecclesiastical discipline,#item-c4e2bba71,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/821,4226,2927,886/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/full/0/default.jpg
Volume 1,453,,Eccho,Eccho,1616 [Eccho],,echo,#item-9d68ddad8,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/399,243,3003,356/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg
Volume 1,453,,Eclipse,Eclipse,936 [Eclipse],,eclipse,#item-3a398c693,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/386,523,3117,234/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg
Volume 1,453,,Eel,Eel,1647 [Eel],,eel,#item-ab3f11547,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/399,667,3061,175/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg
Volume 1,453,,Egg,Egg,1651 [Eggs],,egg,#item-5bacc263d,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/381,801,3076,319/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg
Volume 1,453,,Element,Element,2092 [Element],,element,#item-741f9b803,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/362,1061,3125,415/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg
Volume 1,453,,Eloquence,Eloquence,fair words|1659 [Eloquence],,eloquence,#item-eec917b43,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/400,1436,3075,476/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg
Volume 1,453,,Empire,Empire,Kingdom,,empire,#item-3af6ee29e,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/377,1889,3092,305/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg
Volume 1,453,,End,End,Last|World's End|868 [End],,end,#item-3f317cb7d,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/365,2131,3102,716/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg
Volume 1,453,,England,England,1347 [England],,England,#item-04417cb2f,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/354,2756,3092,623/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg
Volume 1,453,,Enmity,Enmity,Hatred|Love of enemies|858 [PAGE_MISSING],,enmity,#item-a6c8131c3,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/385,3276,3066,698/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg
Volume 1,453,,Envy,Envy,730 [PAGE_MISSING],,envy,#item-4aae041fe,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/421,3869,3020,691/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg
Volume 1,453,,Epicurism,Epicurism,Revelling|lust of the eye|Pleasure|Worldly|1087 [Epicures],,epicurism,#item-42a12e4a4,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/367,4513,3112,601/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg
Volume 1,454,,Epitaph,Epitaph,Inscriptions|245 [Epitaphs],,epitaphs,#item-1a230df78,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/786,236,3024,518/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/full/full/0/default.jpg
Volume 1,454,,Equality,Equality,Inequ.y|1129 [Equality],,equality,#item-52585936e,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/767,612,3017,572/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/full/full/0/default.jpg
Volume 1,454,,Equanimity,Equanimity,Contentmt|Patience|faintheartedness|4560 [PAGE_MISSING],,equanimity,#item-ab4bc8710,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/778,1011,2980,504/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/full/full/0/default.jpg
Volume 1,454,,Equity,Equity,Justice|Law|Right,,equity,#item-814bcd187,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/766,1367,2895,301/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/full/full/0/default.jpg
Volume 1,454,,Equivocation,Equivocation,1540 [Equivocation],,equivocation,#item-5de478888,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/737,1801,2962,551/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/full/full/0/default.jpg
