pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,insertion,thumbnail,label,location
alpha_0302,Volume 1,455,,External conversation,External conversation,E,,,<a href='/digital-beehive/alpha5/num_0129/'>Conversation</a>,,<a href='/digital-beehive/index2/index_1362/'>external conversation</a>,#item-501034b2c,,Entry: External conversation|Topic: External conversation|Xref: Conversation|Index: external conversation|#item-501034b2c,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/416,1978,3054,285/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564587565753,,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/416,1978,600,180/250,/0/default.jpg",External conversation,<a href='/digital-beehive/toc/toc1_445/'>Full Page</a>
alpha_0303,Volume 1,455,,Extern : Worship,External Worship,E,,,<a href='/digital-beehive/alpha5/alpha_1060/'>will-Worship</a>|<a href='/digital-beehive/num1/num_0217/'>207 [Outside religion]</a>,,<a href='/digital-beehive/index2/index_1363/'>external worship</a>,#item-287033ba0,,Entry: Extern : Worship|Topic: External Worship|Xref: will-Worship|XRef: 207 [Outside Religion]|Index: external worship|#item-287033ba0,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/402,2395,3034,900/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564587737898,,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/402,2395,600,180/250,/0/default.jpg",Extern : Worship,<a href='/digital-beehive/toc/toc1_445/'>Full Page</a>
alpha_0304,Volume 1,455,,Eye,Eye,E,,,757 [PAGE_MISSING],,<a href='/digital-beehive/index2/index_1370/'>eye</a>,#item-a6db77dc0,,Entry: Eye|Topic: Eye|XRef: 757 [PAGE_MISSING]|Index: eye|#item-a6db77dc0,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/399,3236,3012,505/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564587947903,,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/399,3236,600,180/250,/0/default.jpg",Eye,<a href='/digital-beehive/toc/toc1_445/'>Full Page</a>
alpha_0305,Volume 1,455,,lust of the eye,lust of the eye,E,,,<a href='/digital-beehive/alpha2/alpha_0286/'>epicurism</a>,,<a href='/digital-beehive/index2/index_1373/'>eye lust</a>,#item-992a5ce4c,,Entry: lust of the eye|Topic: lust of the eye|Xref: epicurism|Index: eye lust|#item-992a5ce4c,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/409,3684,3025,456/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564588047954,,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/409,3684,600,180/250,/0/default.jpg",lust of the eye,<a href='/digital-beehive/toc/toc1_445/'>Full Page</a>
alpha_0306,Volume 1,455,,Fable,Fable,F,,,<a href='/digital-beehive/alpha4/alpha_0813/'>Romance</a>|talker of trifles|<a href='/digital-beehive/toc/toc2_274/'>1405 [Fable]</a>,,<a href='/digital-beehive/index2/index_1375/'>Fables</a>,#item-85b695d6a,,Entry: Fable|Topic: Fable|Xref: Romance|Xref: talker of trifles|XRef: 1405 [Fable]|Index: Fables|#item-85b695d6a,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/371,4101,3081,488/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564588174277,,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/371,4101,600,180/250,/0/default.jpg",Fable,<a href='/digital-beehive/toc/toc1_445/'>Full Page</a>
alpha_0307,Volume 1,455,,Faintheartedness,Faintheartedness,F,,,<a href='/digital-beehive/alpha1/alpha_0188/'>Coward</a>|<a href='/digital-beehive/toc/toc2_411/'>2366 [Fainthearted]</a>,,<a href='/digital-beehive/index2/index_1379/'>fainthearted</a>,#item-335e81f7c,,Entry: Faintheartedness|Topic: Faintheartedness|Xref: Coward|Xref: 2366 [Fainthearted]|Index: fainthearted|#item-335e81f7c,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/406,4528,3024,546/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564588269694,,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/406,4528,600,180/250,/0/default.jpg",Faintheartedness,<a href='/digital-beehive/toc/toc1_445/'>Full Page</a>
alpha_0308,Volume 1,456,,Fair words,Fair words,F,,,<a href='/digital-beehive/alpha2/alpha_0280/'>eloquence</a>|<a href='/digital-beehive/toc/toc2_411/'>2370 [Fair Words]</a>,,<a href='/digital-beehive/index2/index_1381/'>fair words</a>,#item-a3c193e9f,,Entry: Fair words|Topic: Fair words|XRef: eloquence|XRef: 2370 [Fair Words]|Index: fair words|#item-a3c193e9f,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/747,220,3022,572/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564588412993,,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/747,220,600,180/250,/0/default.jpg",Fair words,<a href='/digital-beehive/toc/toc1_446/'>Full Page</a>
alpha_0309,Volume 1,456,,Faith,Faith,F,,,<a href='/digital-beehive/alpha5/alpha_1000/'>unbelief</a>|<a href='/digital-beehive/num2/num_0484/'>397 [Faith]</a>,,<a href='/digital-beehive/index2/index_1383/'>Faith</a>,#item-597a8bcb7,,Entry: Faith|Topic: Faith|XRef: unbelief|XRef: 397 [Faith]|Index: Faith|#item-597a8bcb7,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/761,713,3003,624/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564588485396,,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/761,713,600,180/250,/0/default.jpg",Faith,<a href='/digital-beehive/toc/toc1_446/'>Full Page</a>
alpha_0310,Volume 1,456,,Faithfulness,Faithfulness,F,,,<a href='/digital-beehive/alpha5/alpha_0977/'>Treachery</a>,,<a href='/digital-beehive/index2/index_1386/'>faithfulness</a>,#item-d0ddf2293,,Entry: Faithfulness|Topic: Faithfulness|Xref: Treachery|Index: faithfulness|#item-d0ddf2293,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/759,1234,2987,537/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564588585357,,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/759,1234,600,180/250,/0/default.jpg",Faithfulness,<a href='/digital-beehive/toc/toc1_446/'>Full Page</a>
alpha_0311,Volume 1,456,,Fall,Fall,F,,,<a href='/digital-beehive/alpha4/alpha_0917/'>Strappado</a>|<a href='/digital-beehive/num1/num_0010/'>10 [After high floods (: come :) low ebbs]</a>|<a href='/digital-beehive/toc/toc2_183/'>983 [Fall]</a>,,<a href='/digital-beehive/index2/index_1388/'>fall</a>,#item-ce4db9693,,Entry: Fall|Topic: Fall|Xref: Strappado|Xref: 10 [After high floods come low ebbs]|Xref: 983 [Fall]|Index: fall|#item-ce4db9693,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/715,1785,3050,479/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564588680807,,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/715,1785,600,180/250,/0/default.jpg",Fall,<a href='/digital-beehive/toc/toc1_446/'>Full Page</a>
alpha_0312,Volume 1,456,,Falshood,Falshood,F,,,<a href='/digital-beehive/alpha2/alpha_0441/'>Hypocrisie</a>|<a href='/digital-beehive/alpha1/alpha_0156/'>false Comfort</a>|<a href='/digital-beehive/alpha1/alpha_0191/'>craftiness</a>|<a href='/digital-beehive/alpha4/alpha_0877/'>Simulation</a>|<a href='/digital-beehive/toc/toc2_182/'>979 [Falsehood]</a>,,<a href='/digital-beehive/index2/index_1392/'>falshood</a>,#item-eeba60407,,Entry: Falshood|Topic: Falshood|Xref: Hypocrisie|Xref: false Comfort|Xref: craftiness|Xref: Simulation|Xref: 979 [Falsehood]|Index: falshood|#item-eeba60407,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/727,2187,3011,693/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564588962517,,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/727,2187,600,180/250,/0/default.jpg",Falshood,<a href='/digital-beehive/toc/toc1_446/'>Full Page</a>
alpha_0313,Volume 1,456,,Farewell,Farewell,F,,,Departure|<a href='/digital-beehive/alpha1/alpha_0055/'>Banishmt</a>|<a href='/digital-beehive/toc/toc2_150/'>675 [Farewell]</a>,,<a href='/digital-beehive/index2/index_1404/'>farewel</a>,#item-b17b8e943,,Entry: Farewell|Topic: Farewell|Xref: Departure|Xref: Banishmt|Xref: 675 [Farewell]|Index: farewel|#item-b17b8e943,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/769,2745,2987,562/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564589077567,,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/769,2745,600,180/250,/0/default.jpg",Farewell,<a href='/digital-beehive/toc/toc1_446/'>Full Page</a>
alpha_0314,Volume 1,456,,Fashion of the Country,Fashion of the Country,F,,,<a href='/digital-beehive/toc/toc2_271/'>1386 [Fashion of the Country]</a>,,<a href='/digital-beehive/index2/index_1408/'>fashion of the Country</a>,#item-4be979543,,Entry: Fashion of the Country|Topic: Fashion of the Country|XRef: 1386 [Fashion of the Country]|Index: fashion of the Country|#item-4be979543,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/774,3189,2909,587/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564589208333,,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/774,3189,600,180/250,/0/default.jpg",Fashion of the Country,<a href='/digital-beehive/toc/toc1_446/'>Full Page</a>
alpha_0315,Volume 1,456,,Fasting,Fasting|Fasting days,F,,,<a href='/digital-beehive/toc/toc2_163/'>876 [Fasting]</a>,,<a href='/digital-beehive/index2/index_1411/'>fasting</a>,#item-00a250c48,,Entry: Fasting|Topic: Fasting|Topic: Fasting days|XRef: 876 [Fasting]|Index: fasting|#item-00a250c48,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/775,3724,2998,427/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564589269813,,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/775,3724,600,180/250,/0/default.jpg",Fasting,<a href='/digital-beehive/toc/toc1_446/'>Full Page</a>
alpha_0316,Volume 1,456,,Fate,Fate,F,,,<a href='/digital-beehive/toc/toc2_242/'>1243 [Fate]</a>,,<a href='/digital-beehive/index2/index_1413/'>fate</a>,#item-60683e6ab,,Entry: Fate|Topic: Fate|Xref: 1243 [Fate]|Index: fate|#item-60683e6ab,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/748,4082,3017,355/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564589335080,,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/748,4082,600,180/250,/0/default.jpg",Fate,<a href='/digital-beehive/toc/toc1_446/'>Full Page</a>
alpha_0317,Volume 1,456,,Fatness,Fatness,F,,,<a href='/digital-beehive/toc/toc2_144/'>636 [Fatness]</a>,,<a href='/digital-beehive/index2/index_1416/'>fatness</a>,#item-f495cc04a,,Entry: Fatness|Topic: Fatness|Xref: 636 [Fatness]|Index: fatness|#item-f495cc04a,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/749,4303,3010,445/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564589370422,,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/749,4303,600,180/250,/0/default.jpg",Fatness,<a href='/digital-beehive/toc/toc1_446/'>Full Page</a>
alpha_0318,Volume 1,456,,Fault,Fault,F,,,<a href='/digital-beehive/alpha2/alpha_0292/'>Error</a>|<a href='/digital-beehive/toc/toc2_178/'>956 [Failings of good men]</a>,,<a href='/digital-beehive/index2/index_1417/'>fault</a>,#item-3e32c3b6e,,Entry: Fault|Topic: Fault|Xref: Error|Xref: 956 [Failings of good men]|Index: fault|#item-3e32c3b6e,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/746,4581,3002,449/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564589520650,,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/746,4581,600,180/250,/0/default.jpg",Fault,<a href='/digital-beehive/toc/toc1_446/'>Full Page</a>
alpha_0319,Volume 2,11,,Favour,Favour,F,,,Disfavour|<a href='/digital-beehive/toc/toc2_265/'>1359 [Favour]</a>,,<a href='/digital-beehive/index2/index_1418/'>favour & disfavour</a>,#item-89fc7f3f5,,Entry: Favour|Topic: Favour|Xref: Disfavour|Xref: 1359 [Favour]|Index: favour & disfavour|#item-89fc7f3f5,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/413,254,3026,514/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1474833083208,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/413,254,600,180/250,/0/default.jpg",Favour,<a href='/digital-beehive/toc/toc2_001/'>Full Page</a>
alpha_0320,Volume 2,11,,Fear,Fear,F,,,<a href='/digital-beehive/alpha1/alpha_0188/'>Coward</a>|<a href='/digital-beehive/alpha2/alpha_0307/'>fainthearted</a>|<a href='/digital-beehive/alpha5/alpha_0944/'>Terrour</a>|<a href='/digital-beehive/num1/num_0213/'>203 [Fear]</a>,,<a href='/digital-beehive/index2/index_1420/'>fear</a>,#item-c9de27b2b,,Entry: Fear|Topic: Fear|Xref: Coward|Xref: fainthearted|Xref: Terrour|Xref: 203 [Fear]|Index: fear|#item-c9de27b2b,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/413,712,3049,495/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1474833182657,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/413,712,600,180/250,/0/default.jpg",Fear,<a href='/digital-beehive/toc/toc2_001/'>Full Page</a>
alpha_0321,Volume 2,11,,Feasts,Feasts,F,,,<a href='/digital-beehive/alpha4/alpha_0927/'>Sunday</a>|<a href='/digital-beehive/toc/toc2_212/'>1093 [holy days]</a>,,"<a href='/digital-beehive/index2/index_1424/'>feast, i.e. holy day</a>",#item-e37c358a2,,Entry: Feasts|Topic: Feasts|Xref: Sunday|Xref: 1093 [holy days]|Index: feasts i.e. holy day|#item-e37c358a2,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/441,1161,3026,429/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1474833247248,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/441,1161,600,180/250,/0/default.jpg",Feasts,<a href='/digital-beehive/toc/toc2_001/'>Full Page</a>
alpha_0322,Volume 2,11,,Feast,Feast,F,,,<a href='/digital-beehive/num1/num_0172/'>165 [Feast]</a>,,"<a href='/digital-beehive/index2/index_1423/'>feast, i.e. banquet</a>",#item-00b892f8c,,Entry: Feast|Topic: Feast|Xref: 165 [Feast]|Index: feast i.e. banquet|#item-00b892f8c,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/427,1543,3035,453/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1474833518808,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/427,1543,600,180/250,/0/default.jpg",Feast,<a href='/digital-beehive/toc/toc2_001/'>Full Page</a>
alpha_0323,Volume 2,11,,Fever,Fever,F,,,<a href='/digital-beehive/toc/toc2_375/'>2099 [Fever]</a>,,<a href='/digital-beehive/index2/index_1436/'>fever</a>,#item-015746612,,Entry: Fever|Topic: Fever|Xref: 2099 [Fever]|Index: fever|#item-015746612,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/408,1964,3026,311/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1474833593766,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/408,1964,600,180/250,/0/default.jpg",Fever,<a href='/digital-beehive/toc/toc2_001/'>Full Page</a>
alpha_0324,Volume 2,11,,Fewness,Fewness,F,,,<a href='/digital-beehive/alpha4/alpha_0772/'>Rarity</a>,,<a href='/digital-beehive/index2/index_1438/'>fewness</a>,#item-5113dc0b5,,Entry: Fewness|Topic: Fewness|Xref: Rarity|Index: fewness|#item-5113dc0b5,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/394,2242,2993,476/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1474833674901,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/394,2242,600,180/250,/0/default.jpg",Fewness,<a href='/digital-beehive/toc/toc2_001/'>Full Page</a>
alpha_0325,Volume 2,11,,Fire,Fire,F,,,<a href='/digital-beehive/alpha5/num_0441/'>Incendiary</a>|Coal|<a href='/digital-beehive/toc/toc2_224/'>1152 [Fire]</a>,,<a href='/digital-beehive/index2/index_1454/'>fire</a>,#item-c2d913b30,,Entry: Fire|Topic: Fire|Xref: Incendiary|Xref: Coal|Xref: 1152 [Fire]|Index: fire|#item-c2d913b30,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/418,2733,3031,424/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1474833755734,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/418,2733,600,180/250,/0/default.jpg",Fire,<a href='/digital-beehive/toc/toc2_001/'>Full Page</a>
alpha_0326,Volume 2,11,,First,First,F,,,<a href='/digital-beehive/alpha1/alpha_0074/'>Beginning</a>,,<a href='/digital-beehive/index2/index_1459/'>first</a>,#item-b922f4d19,,Entry: First|Topic: First|Xref: Beginning|Index: first|#item-b922f4d19,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/394,3130,3012,533/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1474833818598,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/394,3130,600,180/250,/0/default.jpg",First,<a href='/digital-beehive/toc/toc2_001/'>Full Page</a>
alpha_0327,Volume 2,11,,Firstborn,Firstborn,F,,,<a href='/digital-beehive/toc/toc2_382/'>2163 [Birth-right]</a>,,<a href='/digital-beehive/index2/index_1460/'>firstborn</a>,#item-024c28ee8,,Entry: Firstborn|Topic: Firstborn|Xref: 2163 [Birth-right]|Index: firstborn|#item-024c28ee8,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/399,3649,3026,406/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1474833867921,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/399,3649,600,180/250,/0/default.jpg",Firstborn,<a href='/digital-beehive/toc/toc2_001/'>Full Page</a>
alpha_0328,Volume 2,11,,Fish,Fish,F,,,<a href='/digital-beehive/alpha2/alpha_0277/'>Eel</a>|<a href='/digital-beehive/toc/toc2_324/'>1646 [Fish]</a>,,<a href='/digital-beehive/index2/index_1464/'>fish</a>,#item-499282970,,Entry: Fish|Topic: Fish|Xref: Eel|Xref: 1646 [Fish]|Index: fish|#item-499282970,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/422,4004,3007,354/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1474833942776,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/422,4004,600,180/250,/0/default.jpg",Fish,<a href='/digital-beehive/toc/toc2_001/'>Full Page</a>
alpha_0329,Volume 2,11,,Flattery,Flattery,F,,,Plausible Popularity|810 [PAGE_MISSING],,<a href='/digital-beehive/index2/index_1474/'>flattery</a>,#item-c9615b60f,,Entry: Flattery|Topic: Flattery|Xref: Plausible Popularity|Xref: 810 [PAGE_MISSING]|Index: flattery|#item-c9615b60f,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/400,4329,3034,749/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1474834007338,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0478/400,4329,600,180/250,/0/default.jpg",Flattery,<a href='/digital-beehive/toc/toc2_001/'>Full Page</a>
alpha_0330,Volume 2,12,,Flea,Flea,F,,,,,<a href='/digital-beehive/index2/index_1476/'>flea</a>,#item-7875404b6,,Entry: Flea|Topic: Flea|Index: flea|#item-7875404b6,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0479/790,261,2963,249/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0479/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1508259087086,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0479/790,261,600,180/250,/0/default.jpg",Flea,<a href='/digital-beehive/toc/toc2_002/'>Full Page</a>
alpha_0331,Volume 2,12,,Flesh,Flesh,F,,,<a href='/digital-beehive/toc/toc2_124/'>522 [Flesh]</a>,,<a href='/digital-beehive/index2/index_1479/'>flesh</a>,#item-a82bff2a3,,Entry: Flesh|Topic: Flesh|Xref: 522 [Flesh]|Index: flesh|#item-a82bff2a3,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0479/790,464,2963,413/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0479/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1508259151074,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0479/790,464,600,180/250,/0/default.jpg",Flesh,<a href='/digital-beehive/toc/toc2_002/'>Full Page</a>
alpha_0332,Volume 2,12,,Flies,Flies,F,,,<a href='/digital-beehive/toc/toc2_186/'>1002 [Flies]</a>,,<a href='/digital-beehive/index2/index_1481/'>flie</a>,#item-4b9a56ee5,,Entry: Flies|Topic: Flies|Xref: 1002 [Flies]|Index: flie|#item-4b9a56ee5,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0479/750,767,3019,403/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0479/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1563204530986,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0479/750,767,600,180/250,/0/default.jpg",Flies,<a href='/digital-beehive/toc/toc2_002/'>Full Page</a>
alpha_0333,Volume 2,12,,Flight,Flight,F,,,<a href='/digital-beehive/toc/toc2_148/'>660 [Flight]</a>,,<a href='/digital-beehive/index2/index_1482/'>flight</a>,#item-f62671716,,Entry: Flight|Topic: Flight|Xref: 660 [Flight]|Index: flight|#item-f62671716,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0479/708,991,3051,589/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0479/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1563204642340,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0479/708,991,600,180/250,/0/default.jpg",Flight,<a href='/digital-beehive/toc/toc2_002/'>Full Page</a>
alpha_0334,Volume 2,12,,Flower,Flower,F,,,,,<a href='/digital-beehive/index2/index_1488/'>flower</a>,#item-f5f1c5829,,Entry: Flower|Topic: Flower|Index: flower|#item-f5f1c5829,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0479/622,1446,3152,530/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0479/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1563204706297,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0479/622,1446,600,180/250,/0/default.jpg",Flower,<a href='/digital-beehive/toc/toc2_002/'>Full Page</a>
alpha_0335,Volume 2,12,,Fontanell,Fontanell,F,,,,,<a href='/digital-beehive/index2/index_1495/'>fontanell</a>,#item-74981c1af,,Entry: Fontanell|Topic: Fontanell|Index: fontanell|#item-74981c1af,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0479/778,1996,2951,331/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0479/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1508259418580,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0479/778,1996,600,180/250,/0/default.jpg",Fontanell,<a href='/digital-beehive/toc/toc2_002/'>Full Page</a>
