pid,volume,image,pastorius_page_numbers,older_pastorius_page_numbers,type,secondary_type,toc_title,toc_link,section_title,secondary_section_title,tertiary_section_title,pastorius_section_header,pastorius_description,contents,secondary_contents,notes,first_entry,last_entry,order,thumbnail,full,notes_DONOTUSE
toc1_103,1,113,53,,Emblematical Recreations,,,,Emblematical Recreations (Supplemental),,,,A few Supplements to §. 27. or Profane Transactions and Histories,,,,A few Supplements to §. 27. or Profane Transactions and Histories,,105,,,
toc1_104,1,114,54,,Introductory Material,,1.114: Mellitotrophium Apicula Germanopolitan[ae]. F.D.P.,Mellitotrophium_Apicula_Germanopolitanae,Front Matter,First Version,,Mellitotrophium Apicula Germanopolitan[ae]. F.D.P.,"1. Franciscus Daniel Pastorius Alvear istud Condidit Ergò suae Posterirtatis erit Posteritatis erits PastorI, siqua Superstes, Sin orbus posthàc, Orbis habeto favos. Est prius in Votis, ast bac suprema Voluntas, Vota, Voluntatem suldo JEHOVA Tibi. Velle Tunno, non Velle meum fiat Sanctissisme JESU! Fac tamen, ut quod vis, id simul Ipse veliu. Fac, prècor, ut no strum Velle sit harmonicum. * F. D. P. / - who may according to his good pleasure either suppress it, or send it to the Press. // 2. Apes (: it ajunt :) debemus imitari, que vaganeur, & flores ad mel faciendum idoness carpunt; Deinde quidquid attulére disponunt, ac per Favos digerunt, Et ut Virgilius noster ait - Liquentia Mella Stipant, et dulci distendunt Nectare Cellas &c. Seneca Epist. 84. / [F. D. P.] Floriferis ut Apes in saltibus omnia libant, Omnia nos itidem / Depascimur aurea Dicta Aurea, / Perpetuâ semper dignissima Vitâ. Lucretius. / [Philologus, i.e. Eruditus per omnes Circumvolat Artes, Rinstar Apis ubiq' Mella collogit, ut Voce formet Linguam, & rerum Intelligentia Mentem, inquit ??enfelder in apparatu Eruditionis p.3.] / Bees are industrious and go abroad to gather honey from each plant & flower. But drones lie at home and eat up what the Bees have taken pains for, saith Culpepper in his Engl. Phys. pag. 108. / Ergo Fucos à Prasepibus arce. // 3. The sedulous Bee (: saith another :) doth not thyme all her thighs from one flowers single vertues, She takes the best from many and together She makes them serve: not without working that to honey [which the putrid Spider would convert in poyson. / Hujus ad Exemplum ~ componamus Amici; / Mens assueta libris per tanta Volumina solers Ambuler, atque, suos aliquid comportet in usus; Instae Apis potius volitans per Prata, per hortos, Quaie mala cloam[?] fingens ceu turpis Araneus erse / Les Abelles tirent le Micl - le Cira des Fleuts, mais ?? araigneed font venin de tout. / O Beßer bringt man Honig-senn Immen-gleich von fernen sein, als daß man nach art der Spinnen selbst das giftige solt ersinnen. // 4. My Friends we see the toilsome laborius Bee, In Gardens, Orchards, Fields / To seek and suck what yields a sweet and wholsom Sap; / Here She loves to tarry, and that Juyce to carry Into her Hive. / This Let us strive to Imitate the same, Accounting it a Shame / If we should fail to gather some good things for our Reader. / Again we see the cautious Bee In Gardens, Orchards, Field, / To shun that herb which yields a bitter tainted Sap; / Here She loaths to tarry, This She will not carry into her Hive. / Thus Let us strive to Imitate the same, Accounting it a shame, / If we should go & gather what's hurtful for our Reader. // [vide infrà p. 86. num. 70.] All Blossoms and all Books which poisoned filth infects, / We leave to Spiders, Toads, and venomous Insects. // Apes oderunt non solum foedes odores, sed etiam unguentorum delicias; En quo fit, it homines his delibutos percutiant. Aristot. // and the Germantown Bee saith! / Whoever stinks or smells of any leacherous thing, Shall not be free from me, but surely feel my Sting; / I am a Commoner, and not the sovereign King, Qui Spicula nescit. See above page 36. / Dirty Boys, false-coloured Wives Must not approach to our hives. / Why so? Quoniam Apes in hoc Luco abhorrent à Muco & fuco. / [Hos/Has a praesepibus arcent. /// 5. [: . :] This Bracket (: Crotchet, or whatever you will call it, :) contains such things as come from mine on Brain & Fancy. /// Spending my Time among the English Nation, I wrote this for my private Recreation ; And If by Inadvertency, heedlessness, Oversight & Neglect one and the same Phrase or Saying be inserted twice, I therefore kindly entreat ye Reader to forgive me, as I forgive him. Whoever hath time to Copys this Book may not only let alone what he displeaseth, but also Class there after an exacter Method and more lovely Order. &c. See pag. 1. / For I own myself to be but a two footed Bee (: Apiculam potius quam Apem :) that having no Wing, & something else to do than to make honey in day-time, was obliged to work at this Paper-hive by the Lamp, in the night-season. &c. ...",Introductory Material,,,,,106,,,"Title page, verses, etc."
toc1_105,1,115,55,,Introductory Material,Onomastic Symbols,1.115: Francis Daniel Pastorius. His Hive or Bee-stock.,Francis_Daniel_Pastorius_His_Hive_or_Bee-stock,Front Matter,First Version,Symbola Onomastica,Francis Daniel Pastorius. His Hive or Bee-stock. Containing above two thousand little Honey-Combs; Begun in the Year 1696-- And continued for the use of his Children.,"After I had collected Two Volumes of delightful Proverbs, witty Sentences, wise and godly Sayings, Comprizing for the most part necessary & profitable Caveats, Advises, Doctrines & Instructions, out of many Authors of many minds & diferent Opinions, not only in my Mother Tongue, but likewise in the Low-Dutch, French, Italian and Latin -- which both Books in 4o. are still with me. For the better learning of the ENGLISH, and that my two sons (: who probably will never attain to the understanding of the said Languages :) might hereafter have some of their Fathers Steps, thereby to be guided to the same Diligence & Asiduity of Picking the BEST out of GOOD Writings, I endeavoured at Spare-times to make this present Hive on a Quire of fine Paper, which a Friend of mine [: Jacob Tellner :] departing for Eorope did give me, And when all over filled up with honey-combs, I was constrained to enlarge my Hive with more courser, homely or home-spun Stuff of the Country-Product. Thus I leave it for the Perusing of those for whom it was contrived in the first beginning thereof; Nevertheless If any other besides them should happen to be benefitted by these Miscellanies, it will not sad, but glad my heart. // Nam Rodesse dolo cu[e]nctis, nullig, Nocere: / Semper amare bonos, et tolerare malos. / F. D. P. / As for my performance herein I could heartily wish it might prove to all honest peoples good liking.",Introductory Material,,,1,19,107,,,"Title page, introductory notes, onomastic symbols (1-19), etc.; there are actually 36 onomastic symbols, but FDP has numbered the lines from 1 to 19; continues on image 142. Secondary type problem for section browse. MDL has ""55 first"""
toc1_106,1,116,55.2,,Book List,,1.116: Quaker Writings,Quaker_Writings,Quaker Writings,,,,Pag. 55 being a Suppemt. to the next three leaves. ,,,,1,73,108,,,"Supplement to the next three leaves. MDL has ""55 second"""
toc1_107,1,117,56,,Book List,,1.117: Out of the Writings of those true Christians whome the World in Scorn calls Quakers,Out_of_the_Writings_of_those_true_Christians_whome_the_World_in_Scorn_calls_Quakers,Quaker Writings,,,"Out of the Writings of those true Christians whome the World in Scorn calls Quakers, which harmless Name this harmless People cannot but own. - add p. 375. 376. [Books in folio, quarto, octavo, duodecimo, broad-side.]","For as much as the Old Index, beginning formerly at this side, was not only too Compact, being pressed together in the narrow Bounds of three Pages, but also defective & without true Alphabetical Order, &c. I at the latter Renewal or Renovation of this Manuscript, (: whereof it is never like to have any more, having had enough already, :) thought it most Convenient & suitable to those hands that will ac-complish this Alvearium, to Remove the said unhandsom & vitious Table, by tearing the same, and prefix a better & Compleater at the very Entrance or Threshold of this Book, to which I refer the inquisitive Reader for his more satisfactory Content. And Whereas (: as Plinius saith, / Ingenuum est Fateri per Quos profeceris / I shall set down the several Authors, out of which this present Hive is collected. - / And ye (: John Samuel & Henry Pastorius, dear & well beloved Children! // At Leasure hours and Candle-light, / When Others play, or lose their Sight; / Read ye these Books, I here have set, / Or other good ones you can get; See pag. 375. 376. 377. 378. 379. 380. / But where you meet an Asterisk * / Think that your Father, being brisk, / Perused them, and like a Bee, / From thence did gather what you see / In hoc Alveario, Favis multifario. / Non sibi, Sed vobis Mellificavit, Apis. / sive potius Apicula Germanopolitana. F. D. P. ",,,,74,105,109,,,
toc1_108,1,118,56.2,,Book List,,,,Quaker Writings,,,,,,,,106,180,110,,,
toc1_109,1,119,57,,Book List,,,,Quaker Writings,,,,,,,,181,269,111,,,
toc1_110,1,120,57.2,,Book List,,,,Quaker Writings,,,,,,,,270,347,112,,,
toc1_111,1,121,58,,Book List,,,,Quaker Writings,,,,,,,,350,429,113,,,
toc1_112,1,122,58.2,,Book List,,,,Quaker Writings,,,,"Some more of the Writings of the aforesaid People, who make Profession of the True Light, CHRIST JESUS, and are enlightened thereby, See infra pag. 375. 376.",,,,430,465,114,,,
toc1_113,1,123,59,,Book List,,1.123: Out of some Other Authors,Out_of_some_Other_Authors,Non-Quaker Writings,,,"Out of some Other Authors, who did not Profess (much less Possess: yet some thereof in measure) the same Truth with us. ./.",,,,,1,59,115,,,
toc1_114,1,124,59.2,,Book List,,,,Non-Quaker Writings,,,,,,,,61,130,116,,,"60 does not exist; I have marked such absences, but in general, the numbering includes intentional gaps in the middle of the pages as well"
toc1_115,1,125,60,,Book List,,,,Non-Quaker Writings,,,,,,,,131,192,117,,,
toc1_116,1,126,60.2,,Book List,,,,Non-Quaker Writings,,,,,,,,200,267,118,,,193 to 199 does not exist
toc1_117,1,127,61,,Book List,,,,Non-Quaker Writings,,,,,,,,268,322,119,,,
toc1_118,1,128,61.2,,Book List,,1.128: Friends Writings,Friends_Writings,Quaker Writings,Friends Writings,,"Collections of Friends Writings, &c.",Adde suprà pag. 56 & infrà p. 376 nu[m]. 61. 62. & in hac. pag. num. 400. post num. 1005,,,,371,400,120,,,
toc1_119,1,129,62,,Book List,,,,Non-Quaker Writings,,,,,,,,1,60,121,,,
toc1_120,1,130,62.2,,Book List,,,,Non-Quaker Writings,,,,,,,,62,113,122,,,
toc1_121,1,131,63,,Book List,,1.131: Some More anonymous Authors,Some_More_anonymous_Authors,Non-Quaker Writings,Anonymous Non-Quaker Writings,,Some More anonymous Authors besides those in [MISSING],,,,page includes epigraphs,120,148,123,,,Epigraphs at bottom of page below list item 148
toc1_122,1,132,63.2,,Book List,,,,Quaker Writings,Friends Writings,,,,Num. 1 - Num. 9,,,1,48,124,,,
toc1_123,1,133,64,,Book List,,,,Quaker Writings,Friends Writings,,,"NB. that [:Symb:] with the number affixed, refers to my Symbola Onomastica, p. 55. 67. 46. 136. &c. & [:Rhym:] ... to the Rhymes p. 425. &c.",,,,Num. 10,Num. 18,125,,,
toc1_124,1,134,64.2,,Book List,,,,Non-Quaker Writings,,,,"Books in Folio, In Quarto, In Octavo, In Duodecimo",,,Entries actually included: 1 - 13; 36 - 40; 80 - 83; 120 - 127,1,127,126,,,Works are grouped according to format; numbering system is a bit arcane in that I don't understand it
toc1_125,1,135,65,,Book List,,"1.135: More Anonymous Authors, which were No Quakers",More_Anonymous_Authors,Non-Quaker Writings,Anonymous Non-Quaker Writings,,"More Anonymous Authors, which were No Quakers, besides those in pag. 63.1st.",,1 - 14 & other unnumbered entries,,,149,159,127,,,Arcane numbering system remains arcane
toc1_126,1,136,65.2,,Book List,,1.136: Some more Anonymous Writings publish'd by those called Quakers,Some_more_Anonymous_Writings,Quaker Writings,Anonymous Quaker Writings,,Some more Anonymous Writings publish'd by those called Quakers,,,,Entries actually included: 1 - 6; 1 - 9; 26 - 30,1,30,128,,,
toc1_127,1,137,66,,Emblematical Recreations,,1.137: A few Supplements to my former Emblematical Recreations,A_few_Supplements_to_my_former_Emblematical_Recreations,Emblematical Recreations (Supplemental),,,A few Supplements to my former Emblematical Recreations,,,,,1,24,129,,,Supplement to earlier section (image 85-109)
toc1_128,1,138,66.2,,Emblematical Recreations,,,,Emblematical Recreations (Supplemental),,,,,Fr. Quarles Emblems & Emblems of Francis Quarles and Diego de Saavedra Fajardo,,Quarles's section is unnumbered; Saavedra's section is numbered,1,38,130,,,
toc1_129,1,139,67,,Emblematical Recreations,,,,Emblematical Recreations (Supplemental),,,,,"Emblems of Diego de Saavedra Fajardo, cont.",,,39,102,131,,,
toc1_130,1,140,67.2,,Onomastic Symbols,,1.140: Continuo Symbolorum Onomasticorum,Continuo_Symbolorum_Onomasticorum,Symbola Onomastica,,,Continuo Symbolorum Onomasticorum,,,,,96,179,132,,,Continues from image 142
toc1_131,1,141,67.3,,Onomastic Symbols,,,,Symbola Onomastica,,,,,,,,180,249,133,,,Continues to image 56
toc1_132,1,142,67.4,,Onomastic Symbols,,,,Symbola Onomastica,,,,Adde suprà pag. 55.1st,,,,20,95,134,,,"Continues from image 115, continues to image 140"
toc1_133,1,143,68,,Verse,,1.143: Pro & Contra Poetry or Poesie,Pro_Contra_Poetry,Germantown Silva,Pro & Contra Poetry or Poesie,Miscellaneous Verse,,"It is with Poetry or Poesy just as with Tobacco, which Some Smoke and Other can't brook; / Laudatur ab his, Culpatur ab illis, vide infrà pag. 83 Num. 167. / Whereas now in the few next ensuing Leaves the Reader will find a Miscellany of my sorry Rimes, / I would not have him think, that I made them with a purpose to be accounted a Poet, / No, by no means, Non tanto sum dignus honore; but only to try whether Versifying / and Turning of the Spooling-wheel were things Compatible at the same times. // On this side I shall set down, what's alledg'd Pro- and Con-; Whereunto ye may add Alvear ipsum. sub tit. psalms poesie & poets, a. & num. 454. 1586. 1584. Verses 1585. Thymes & meeters, 1701. &c. ",Introduction to the following pages of Pastorius's verses (likely including the Germantown Silva),,This leaf was pasted to the following leaf prior to rebinding. The verso was uncovered in rebinding.,Pro Poetry or Poesie,Controa Poetry or Poesie,135,,,Introduction to following pages of FDP's verses; quotations arguing for and against poetry
toc1_134,1,144,?,,Blank Page,,,,,,,,,,,This leaf was pasted to the following leaf prior to rebinding. This page was uncovered in rebinding.,,,136,,,Hypthosis from MDL: page covered by pasting
toc1_135,1,145,?,,Verse,,1.145: An Alarum to the Wise and Foolish Virgins,An_Alarum_to_the_Wise_and_Foolish_Virgins,Miscellaneous Verse,,,An Alarum to the Wise and Foolish Virgins,,,,This leaf was pasted to the preceding leaf prior to rebinding. This page was uncovered in rebinding.,An Alarum to the Wise and Foolish Virgins,,137,,,Hypthosis from MDL: page covered by pasting
toc1_136,1,146,68.2,,Verse,,,,Miscellaneous Verse,,,,To my subsequent Hotch-Potch of Rhytmical Whimsies there may also be added what I scribbled above in Pag. 1. 2. 3. 5. 7. 8. 9. 49. 50. 51. 54. 55.,,,This leaf was pasted to the preceding leaf prior to rebinding. The recto was uncovered in rebinding.,[additions],,138,,,MDL: page pasted to 68 first
toc1_137,1,147,69,,Indices,Verse,1.147: Index seqq: Metrorum,Index_seqq_Metrorum,Index to Germantown Silva,,,Index seqq: Metrorum,,,,,Arithmetick,mysteries,139,,,
toc1_138,1,148,69.2,,Indices,Verse,,,Index to Germantown Silva,,,,,,,,Neighbourhood,Zaccheus,140,,,
toc1_139,1,149,70,,Indices,Verse,,,Index to Germantown Silva,Miscellaneous Verse,,,,Poetical phrases & rhymes culled from Miscellaneous Verse,,,Hypocrisie,heavenly Secrets,141,,,Also contains excerpts from Francis Quarles's emblems
toc1_140,1,150,70.2,,Indices,Verse,,,Index to Germantown Silva,Miscellaneous Verse,,,,Additions to the preceding Index,Verse written by Pastorius,,[additions],[Delicias Hortenses notes],142,,,Additions to previous index; verses
toc1_141,1,151,71,,Verse,,1.151: Silvula Rhytmorum Germanopolitanorum. F. D. P.,Silvula_Rhytmorum_Germanopolitanorum,Germantown Silva,,,Silvula Rhytmorum Germanopolitanorum. F. D. P.,"Stat animi Sententia hunc Librum tripartiri; & Carmina sequentia Amicis elargiri, / Ut possint illa legere Germ : Angli & Latini : Silentem Vitam degere Est moris pecorini.",,,,1,13,143,,,"Not all entires appear, in fact, to be verse"
toc1_142,1,152,71.2,,Verse,,,,Germantown Silva,,,,,,,,13 (cont.),22,144,,,
toc1_143,1,153,72,,Verse,,,,Germantown Silva,,,,,,,,23,30,145,,,
toc1_144,1,154,72.2,,Verse,,,,Germantown Silva,,,,,,,,31,38,146,,,
toc1_145,1,155,73,,Verse,,,,Germantown Silva,,,,,,,,38 (cont.),39,147,,,
toc1_146,1,156,73.2,,Verse,,,,Germantown Silva,,,,,,,,40,52,148,,,
toc1_147,1,157,74,,Verse,,,,Germantown Silva,,,,,,,,53,63,149,,,
toc1_148,1,158,74.2,,Verse,,,,Germantown Silva,,,,,,,,64,70,150,,,
toc1_149,1,159,75,,Verse,,,,Germantown Silva,,,,,,,,70 (cont.),81,151,,,
toc1_150,1,160,75.2,,Verse,,,,Germantown Silva,,,,,,,,82,92,152,,,
toc1_151,1,161,76,,Verse,,,,Germantown Silva,,,,,,,,93,103,153,,,
toc1_152,1,162,76.2,,Verse,,,,Germantown Silva,,,,,,,,103 (cont.),117,154,,,
toc1_153,1,163,77,,Verse,,,,Germantown Silva,,,,,,,,117 (cont.),119,155,,,
toc1_154,1,164,78,,Verse,,,,Germantown Silva,,,,,,,,120,121,156,,,
toc1_155,1,165,79,,Verse,,,,Germantown Silva,,,,,,,,122,129,157,,,
toc1_156,1,166,79.2,,Verse,,,,Germantown Silva,,,,,,,,129 (cont.),135,158,,,
toc1_157,1,167,,,Verse,,,,Germantown Silva,,,,,,,,136,144,159,,,
toc1_158,1,168,,,Verse,,,,Germantown Silva,,,,,,,,145,152,160,,,
toc1_159,1,169,,,Verse,,,,Germantown Silva,,,,,,,,153,161,161,,,
toc1_160,1,170,,,Verse,,,,Germantown Silva,,,,,,,,162,167,162,,,
toc1_161,1,171,,,Verse,,,,Germantown Silva,,,,,,,,168,186,163,,,
toc1_162,1,172,,,Verse,,,,Germantown Silva,,,,,,,,187,198,164,,,
toc1_163,1,173,,,Verse,,,,Germantown Silva,,,,,,,This leaf was pasted to the following leaf prior to rebinding. The verso was uncovered in rebinding.,199,206,165,,,MDL: Pasted to 1.176
toc1_164,1,174,,,Verse,,,,Germantown Silva,,,,,,,This leaf was pasted to the following leaf prior to rebinding. This page was uncovered in rebinding.,207,212,166,,,212 is empty. Hypothesis from MDL: Page covered by pasting.
toc1_165,1,175,,,Blank Page,,,,,,,,,,,This leaf was pasted to the preceding leaf prior to rebinding. This page was uncovered in rebinding.,,,167,,,Hypothesis from MDL: Page covered by pasting.
toc1_166,1,176,,,Verse,,,,Germantown Silva,,,,,,,This leaf was pasted to the preceding leaf prior to rebinding. The recto was uncovered in rebinding.,207,219,168,,,"207-211 numbering repeats, but verse content is different. MDL: Pasted to 1.173"
toc1_167,1,177,,,Verse,,,,Germantown Silva,,,,,,,,220,225,169,,,
toc1_168,1,178,,,Verse,,,,Germantown Silva,,,,,,,,226,226,170,,,
toc1_169,1,179,,,Verse,,,,Germantown Silva,,,,,,,,226 (cont.),232,171,,,
toc1_170,1,180,,,Verse,,,,Germantown Silva,,,,,,,,233,240,172,,,
toc1_171,1,181,,,Verse,,,,Germantown Silva,,,,,,,,241,247,173,,,
toc1_172,1,182,,,Verse,,,,Germantown Silva,,,,,,,,248,258,174,,,
toc1_173,1,183,,,Verse,,,,Germantown Silva,,,,,,,,259,270,175,,,
toc1_174,1,184,,,Verse,,,,Germantown Silva,,,,,,,,271,278,176,,,
toc1_175,1,185,,,Verse,,,,Germantown Silva,,,,,,,,279,289,177,,,
toc1_176,1,186,,,Verse,,,,Germantown Silva,,,,,,,,290,304,178,,,
toc1_177,1,187,,,Verse,,,,Germantown Silva,,,,,,,,305,319,179,,,
toc1_178,1,188,,,Verse,,,,Germantown Silva,,,,,,,,320,325,180,,,
toc1_179,1,189,,,Verse,,,,Germantown Silva,,,,,,,,326,328,181,,,
toc1_180,1,190,,,Verse,,,,Germantown Silva,,,,,,,,329,336,182,,,
toc1_181,1,191,,,Verse,,,,Germantown Silva,,,,,,,,337,339,183,,,
toc1_182,1,192,,,Verse,,,,Germantown Silva,,,,,,,,340,347,184,,,
toc1_183,1,193,,,Verse,,,,Germantown Silva,,,,,,,,348,358,185,,,
toc1_184,1,194,,,Verse,,,,Germantown Silva,,,,,,,,359,359,186,,,
toc1_185,1,195,,,Verse,,,,Germantown Silva,,,,,,,,359 (cont.),362,187,,,360 through end of page canceled
toc1_186,1,196,,,Verse,,,,Germantown Silva,,,,,,,,363,370,188,,,
toc1_187,1,197,,,Verse,,,,Germantown Silva,,,,,,,,371,372,189,,,
toc1_188,1,198,,,Verse,,,,Germantown Silva,,,,,,,,372 (cont.),372 (cont.),190,,,
toc1_189,1,199,,,Verse,,,,Germantown Silva,,,,,,,,373,388,191,,,
toc1_190,1,200,,,Verse,,,,Germantown Silva,,,,,,,,389,396,192,,,
toc1_191,1,201,,,Verse,,,,Germantown Silva,,,,,,,,396 (cont.),400,193,,,
toc1_192,1,202,,,Verse,,,,Germantown Silva,,,,,,,,401,417,194,,,
toc1_193,1,203,,,Verse,,,,Germantown Silva,,,,,,,,418,427,195,,,
toc1_194,1,204,,,Verse,,,,Germantown Silva,,,,,,,,428,436,196,,,
toc1_195,1,205,,,Verse,,,,Germantown Silva,,,,,,,,437,445,197,,,
toc1_196,1,206,,,Verse,,,,Germantown Silva,,,,,,,,445 (cont.),451,198,,,
toc1_197,1,207,,,Verse,,,,Germantown Silva,,,,,,,,451 (cont.),456,199,,,
toc1_198,1,208,,,Verse,,,,Germantown Silva,,,,,,,,457,465,200,,,
toc1_199,1,209,,,Verse,,,,Germantown Silva,,,,,,,,466,475,201,,,
toc1_200,1,210,,,Verse,,,,Germantown Silva,,,,,,,,476,487,202,,,
toc1_201,1,211,,,Verse,,,,Germantown Silva,,,,,,,,488,495,203,,,495 is empty
toc1_202,1,212,,,Blank Page,,,,,,,,,,,,,,204,,,
toc1_203,1,213,,,Blank Page,,,,,,,,,,,,,,205,,,
toc1_204,1,214,,,Blank Page,,,,,,,,,,,,,,206,,,
toc1_205,1,215,,,Blank Page,,,,,,,,,,,,,,207,,,
toc1_206,1,216,,,Blank Page,,,,,,,,,,,,,,208,,,
toc1_207,1,217,,,Blank Page,,,,,,,,,,,,,,209,,,
toc1_208,1,218,,,Blank Page,,,,,,,,,,,,,,210,,,
toc1_209,1,219,,,Blank Page,,,,,,,,,,,,,,211,,,
toc1_210,1,220,,,Verse,,1.220: Epigrams,Epigrams,Epigrams,,,,"Since Epigrams (short-paroxysm'd Rimes,) By [lazie/busie] Folks are well lik'd in these Times, / Wherein we breathe, Of such like Meeters meet I will impart to you Sheet after Sheet! / The Printer's Man to pay, take ye the Care & pains, I for myself shall have my labour for my pains. / Some such short Rimes vide suprà pag. 1. 2. 3. 5. 8. 49. /. 71. & 2. / & infrà pag. seq. p. 425. &c. p. 431 &c. num. 2311. &c. p. ult. / Philyra prima Schediasma Secunden. Tertia Charta / Quarta Papyrus. Philura Quinta./.",,,,600,600,212,,,Germantown verse miscellany (cont.) (is it???)
toc1_211,1,221,,,Verse,,,,Epigrams,,,,,,,,601,669,213,,,
toc1_212,1,222,,,Verse,,,,Epigrams,,,,,,,,670,679,214,,,
toc1_213,1,223,,,Blank Page,,,,,,,,,,,,,,215,,,
toc1_214,1,224,,,Verse,,1.224: Miscellania,Miscellania,Miscellaneous Verse,,,,,Miscellaneous Verse,,,851,862,216,,,Also contains note pertaining to FDP's Alphabeto Rhytmico verses; Germantown verse miscellany (cont.) (is it???)
toc1_215,1,225,,,Onomastic Symbols,,1.225: Continuatio Symbolorum Onomasticorum F. D. P.,Continuatio_Symbolorum_Onomasticorum,Symbola Onomastica,,,Continuatio Symbolorum Onomasticorum F. D. P. Adde suprà Pag. 55. &c.,,,,,466,525,217,,,Continues from image 58
toc1_216,1,226,,,Onomastic Symbols,,,,Symbola Onomastica,,,,,,,,526,600,218,,,
toc1_217,1,227,,,Onomastic Symbols,,,,Symbola Onomastica,,,,,,,,601,677,219,,,
toc1_218,1,228,,,Onomastic Symbols,,,,Symbola Onomastica,,,,,,,,678,735,220,,,
toc1_219,1,229,,,Onomastic Symbols,,,,Symbola Onomastica,,,,,,,,736,796,221,,,First few entries are largely illegible
toc1_220,1,230,,,Blank Page,,,,,,,,,,,,,,222,,,
toc1_221,1,231,,,Onomastic Symbols,,,,Symbola Onomastica,,,,,Unnumbered onomastic symbols,,,Unnumbered onomastic symbols,,223,,,"Content appears to be onomastic symbols, but entries are unnumbered"
toc1_222,1,232,,,Blank Page,,,,,,,,,,,,,,224,,,
toc1_223,1,233,,,Blank Page,,,,,,,,,,,,,,225,,,
toc1_224,1,234,,,Blank Page,,,,,,,,,,,,,,226,,,
toc1_225,1,235,,,Blank Page,,,,,,,,,,,,,,227,,,
toc1_226,1,236,,,Miscellania,,1.236: Text pertaining to the Title Deed for Land in Germantown,Text_pertaining_to_the_Title,Miscellaneous Excerpts,,,,,Text pertaining to the Title Deed for Land in Germantown,,,,,228,,,
toc1_227,1,237,,,Blank Page,,,,,,,,,,,,,,229,,,
toc1_228,1,238,,,Blank Page,,,,,,,,,,,,,,230,,,
toc1_229,1,239,,,Blank Page,,,,,,,,,,,,,,231,,,
toc1_230,1,240,,,Blank Page,,,,,,,,,,,,,,232,,,
toc1_231,1,241,88,63,Onomastical Considerations,Verse,1.241: Some Onomastical Considerations,Some_Onomastical_Considerations,Onomastical Considerations,,,Some Onomastical Considerations [the Table whereof vide suprà post Indicem Universalem] occasioned by Our dearly Esteemed Name-Sake John Penn.,"The Autor whereof being a high German, the candid Readers will easily make allowance for some little trips in the man[n]er of expressions.",GENETHLIACUM or An hearty Congratulations,,,1,11,233,,,
toc1_232,1,242,,,Onomastical Considerations,,,,Onomastical Considerations,,,,,,,,12,23,234,,,
toc1_233,1,243,,,Onomastical Considerations,,,,Onomastical Considerations,,,,,,,,23 (cont.),35,235,,,
toc1_234,1,244,,,Onomastical Considerations,,,,Onomastical Considerations,,,,,,,,36,47,236,,,
toc1_235,1,245,,,Onomastical Considerations,,,,Onomastical Considerations,,,,,,,,47 (cont.),58,237,,,
toc1_236,1,246,,,Onomastical Considerations,,,,Onomastical Considerations,,,,,,,,58 (cont.),70,238,,,
toc1_237,1,247,,,Onomastical Considerations,,,,Onomastical Considerations,,,,,,,,70 (cont.),82,239,,,
toc1_238,1,248,,,Onomastical Considerations,,,,Onomastical Considerations,,,,,,,,82 (cont.),92,240,,,90 through end of page canceled
toc1_239,1,249,,,Onomastical Considerations,,,,Onomastical Considerations,,,,,,,,92 (cont.),101,241,,,
toc1_240,1,250,,,Onomastical Considerations,,,,Onomastical Considerations,,,,,,,,102,111,242,,,
toc1_241,1,251,,,Onomastical Considerations,,,,Onomastical Considerations,,,,,,,,111 (cont.),121,243,,,
toc1_242,1,252,,,Onomastical Considerations,,,,Onomastical Considerations,,,,,,,,121 (cont.),127,244,,,
toc1_243,1,253,,75,Onomastical Considerations,,,,Onomastical Considerations,,,,,,,,127 (cont.),134,245,,,
toc1_244,1,254,,,Onomastical Considerations,,,,Onomastical Considerations,,,,,,,,135,141,246,,,
toc1_245,1,255,,,Onomastical Considerations,,,,Onomastical Considerations,,,,,,,,142,149,247,,,
toc1_246,1,256,,,Onomastical Considerations,,,,Onomastical Considerations,,,,,,,,150,157,248,,,
toc1_247,1,257,,79,Onomastical Considerations,,,,Onomastical Considerations,,,,,,,,157 (cont.),166,249,,,
toc1_248,1,258,,,Onomastical Considerations,,,,Onomastical Considerations,,,,,,,,167,175,250,,,
toc1_249,1,259,,,Onomastical Considerations,,,,Onomastical Considerations,,,,,,,,175 (cont.),179,251,,,
toc1_250,1,260,,,Onomastical Considerations,,,,Onomastical Considerations,,,,,,,,179 (cont.),184,252,,,
toc1_251,1,261,,,Onomastical Considerations,,,,Onomastical Considerations,,,,,,,,184 (cont.),192,253,,,
toc1_252,1,262,,,Onomastical Considerations,,,,Onomastical Considerations,,,,"This kind of Speculative Observations or Considerations about Names, being Increased and still Increasingly beyond (: yea even Against :) the Expectation & Intention of the Framer thereof, he that would peruse them to the end, Is hereby entreated to Look forward, to Page 111.",,,,193,199,254,,,
toc1_253,1,263,111,111,Onomastical Considerations,,1.263: Plus Ultra. Or Some further Onomastical Considerations,Plus_Ultra_Or_Some_further_Onomastical_Considerations,Onomastical Considerations (Additions),,,Plus Ultra. Or Some further Onomastical Considerations,,,,,200,207,255,,,
toc1_254,1,264,,,Onomastical Considerations,,,,Onomastical Considerations (Additions),,,,,,,,208,213,256,,,
toc1_255,1,265,,,Onomastical Considerations,,,,Onomastical Considerations (Additions),,,,,,,,214,221,257,,,
